file,class,language,pattern,is_presentation,SLOC,NOM,WMC,CBO,LCOM
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\mapper\ElevationEntityDataMapper.kt,ElevationEntityDataMapper,kotlin,MVP,False,7,1,1,4,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\model\ElevationEntity.kt,ElevationEntity,kotlin,MVP,False,1,0,0,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\model\ElevationEntity.kt,ElevationStatus,kotlin,MVP,False,8,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\model\Result.kt,Result,kotlin,MVP,False,1,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\domain\model\Elevation.kt,Elevation,kotlin,MVP,False,1,0,0,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\model\Faq.kt,Faq,kotlin,MVP,False,1,0,0,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\data\OpenSourceDiskDataSource.kt,OpenSourceDiskDataSource,kotlin,MVP,False,118,2,3,4,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\data\OpenSourceRepository.kt,OpenSourceRepository,kotlin,MVP,False,7,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\data\OpenSourceRepository.kt,Callback,kotlin,MVP,False,4,2,2,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\domain\OpenSourceInteractor.kt,OpenSourceInteractor,kotlin,MVP,False,21,4,4,10,0.5833
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\domain\OpenSourceUseCase.kt,OpenSourceUseCase,kotlin,MVP,False,7,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\domain\OpenSourceUseCase.kt,Callback,kotlin,MVP,False,4,2,2,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\LicensePrinter.kt,LicensePrinter,kotlin,MVP,False,21,1,5,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\OpenSource.kt,OpenSource,kotlin,MVP,False,13,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\OpenSource.kt,View,kotlin,MVP,False,8,6,6,4,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\OpenSource.kt,Presenter,kotlin,MVP,True,3,1,1,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\OpenSourcePresenter.kt,OpenSourcePresenter,kotlin,MVP,True,23,3,3,9,0.5
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\data\model\OpenSourceLibraryEntity.kt,OpenSourceLibraryEntity,kotlin,MVP,False,7,0,0,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\mapper\OpenSourceLibraryMapper.kt,OpenSourceLibraryMapper,kotlin,MVP,False,8,1,1,5,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\opensource\presentation\model\OpenSourceLibraryModel.kt,OpenSourceLibraryModel,kotlin,MVP,False,8,0,0,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\settings\presentation\Settings.kt,Settings,kotlin,MVP,False,10,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\settings\presentation\Settings.kt,View,kotlin,MVP,False,5,3,3,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\settings\presentation\Settings.kt,Presenter,kotlin,MVP,True,3,1,1,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\settings\presentation\SettingsPresenter.kt,SettingsPresenter,kotlin,MVP,True,15,3,3,5,0.5
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\showinfo\presentation\ShowInfo.kt,ShowInfo,kotlin,MVP,False,18,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\showinfo\presentation\ShowInfo.kt,Presenter,kotlin,MVP,True,4,2,2,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\showinfo\presentation\ShowInfo.kt,View,kotlin,MVP,False,12,10,10,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\showinfo\presentation\ShowInfoPresenter.kt,ShowInfoPresenter,kotlin,MVP,True,54,7,12,14,0.8542
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\AboutActivity.kt,AboutActivity,kotlin,MVP,False,31,3,5,8,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\HelpAndFeedbackActivity.kt,HelpAndFeedbackActivity,kotlin,MVP,False,73,12,12,28,0.9394
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\MainActivity.kt,MainActivity,kotlin,MVP,False,729,65,137,79,0.965
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\MainActivity.kt,DistanceMode,kotlin,MVP,False,4,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\OnboardActivity.kt,OnboardActivity,kotlin,MVP,False,31,2,4,3,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\SettingsActivity.kt,SettingsActivity,kotlin,MVP,False,20,2,2,7,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\activity\ShowInfoActivity.kt,ShowInfoActivity,kotlin,MVP,False,230,23,34,30,0.9384
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\animation\AnimatorUtil.kt,AnimatorUtil,kotlin,MVP,False,42,5,5,5,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\animation\DetailsTransition.kt,DetailsTransition,kotlin,MVP,False,6,0,0,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\dialog\AddressSuggestionsDialogFragment.kt,AddressSuggestionsDialogFragment,kotlin,MVP,False,21,4,4,6,0.5
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\dialog\DistanceSelectionDialogFragment.kt,DistanceSelectionDialogFragment,kotlin,MVP,False,19,3,3,6,0.6667
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\fragment\OpenSourceDetailFragment.kt,OpenSourceDetailFragment,kotlin,MVP,False,40,5,7,12,0.8929
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\fragment\OpenSourceMasterFragment.kt,OpenSourceMasterFragment,kotlin,MVP,False,84,10,12,28,0.899
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\fragment\OpenSourceMasterFragment.kt,OnItemClickListener,kotlin,MVP,False,3,1,1,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\fragment\SettingsFragment.kt,SettingsFragment,kotlin,MVP,False,33,4,4,14,0.9167
repos\siempredelao__Distance-From-Me-Android\buildSrc\src\main\java\Dependencies.kt,SdkVersions,kotlin,MVP,False,4,0,0,0,
repos\siempredelao__Distance-From-Me-Android\buildSrc\src\main\java\Dependencies.kt,AppVersions,kotlin,MVP,False,4,0,0,0,
repos\siempredelao__Distance-From-Me-Android\buildSrc\src\main\java\Dependencies.kt,LibraryVersions,kotlin,MVP,False,24,0,0,0,
repos\siempredelao__Distance-From-Me-Android\buildSrc\src\main\java\Dependencies.kt,Dependencies,kotlin,MVP,False,30,0,0,0,
repos\siempredelao__Distance-From-Me-Android\buildSrc\src\main\java\Dependencies.kt,TestDependencies,kotlin,MVP,False,6,0,0,0,
